Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1300
Conversion Gain:	1024
Coarse Gain:	0
Fine Gain:	1
Upper Discriminator:	1023
Lower Discriminator:	27
Calibration Coefficients:Elapsed Real Time:	25.44
Elapsed Live Time:	22.66
Start Time:	September 18, 2012, 10:12:04
End Time:	September 18, 2012, 10:13:30
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		1
12		0
13		0
14		0
15		4
16		4
17		1
18		3
19		7
20		1
21		1
22		0
23		4
24		10
25		363
26		537
27		570
28		563
29		538
30		554
31		610
32		575
33		552
34		548
35		576
36		528
37		530
38		533
39		537
40		538
41		539
42		587
43		567
44		596
45		539
46		575
47		557
48		555
49		601
50		564
51		591
52		555
53		588
54		578
55		587
56		545
57		583
58		578
59		579
60		560
61		525
62		595
63		587
64		622
65		567
66		608
67		633
68		612
69		569
70		608
71		638
72		624
73		673
74		614
75		624
76		686
77		665
78		637
79		655
80		640
81		646
82		598
83		596
84		665
85		662
86		655
87		660
88		679
89		626
90		703
91		713
92		697
93		677
94		677
95		706
96		672
97		709
98		692
99		724
100		732
101		788
102		843
103		836
104		897
105		942
106		910
107		939
108		1018
109		1036
110		1040
111		1099
112		1186
113		1136
114		1040
115		1062
116		1054
117		1047
118		1046
119		999
120		992
121		981
122		1003
123		882
124		864
125		800
126		845
127		835
128		876
129		782
130		759
131		763
132		745
133		747
134		750
135		704
136		696
137		666
138		683
139		662
140		692
141		675
142		664
143		604
144		650
145		611
146		618
147		640
148		682
149		638
150		597
151		583
152		582
153		555
154		602
155		577
156		580
157		609
158		591
159		583
160		570
161		575
162		597
163		539
164		563
165		553
166		550
167		568
168		543
169		575
170		524
171		571
172		505
173		545
174		506
175		530
176		549
177		535
178		549
179		550
180		515
181		519
182		558
183		560
184		507
185		526
186		521
187		534
188		551
189		540
190		522
191		515
192		509
193		533
194		547
195		539
196		522
197		496
198		528
199		503
200		459
201		472
202		506
203		468
204		499
205		519
206		509
207		541
208		495
209		523
210		530
211		558
212		516
213		478
214		519
215		523
216		518
217		529
218		482
219		542
220		469
221		520
222		545
223		513
224		519
225		495
226		526
227		531
228		559
229		472
230		524
231		524
232		516
233		540
234		505
235		530
236		512
237		539
238		525
239		546
240		552
241		510
242		507
243		558
244		532
245		528
246		506
247		525
248		494
249		500
250		498
251		552
252		532
253		487
254		488
255		443
256		474
257		471
258		456
259		444
260		389
261		410
262		418
263		381
264		339
265		362
266		364
267		340
268		327
269		319
270		293
271		273
272		255
273		281
274		229
275		246
276		239
277		232
278		175
279		204
280		213
281		191
282		186
283		155
284		151
285		167
286		154
287		156
288		127
289		144
290		150
291		145
292		139
293		122
294		117
295		124
296		117
297		122
298		103
299		114
300		97
301		100
302		100
303		113
304		108
305		104
306		97
307		109
308		92
309		91
310		89
311		96
312		74
313		83
314		95
315		85
316		86
317		92
318		96
319		90
320		80
321		98
322		81
323		79
324		106
325		81
326		103
327		99
328		94
329		110
330		94
331		98
332		93
333		102
334		123
335		111
336		111
337		105
338		115
339		158
340		135
341		130
342		159
343		175
344		184
345		200
346		201
347		231
348		255
349		259
350		348
351		362
352		355
353		470
354		481
355		557
356		609
357		673
358		740
359		869
360		918
361		1020
362		1054
363		1203
364		1324
365		1417
366		1498
367		1727
368		1820
369		1935
370		1983
371		2133
372		2271
373		2303
374		2466
375		2700
376		2727
377		2784
378		2790
379		2843
380		2787
381		2929
382		2888
383		2798
384		2739
385		2729
386		2538
387		2490
388		2430
389		2259
390		2172
391		2134
392		1921
393		1787
394		1636
395		1454
396		1381
397		1131
398		1106
399		941
400		819
401		733
402		680
403		528
404		511
405		462
406		371
407		325
408		286
409		241
410		160
411		143
412		133
413		120
414		82
415		74
416		66
417		58
418		33
419		40
420		33
421		24
422		26
423		15
424		13
425		29
426		16
427		20
428		32
429		24
430		13
431		15
432		15
433		18
434		12
435		19
436		15
437		27
438		11
439		11
440		22
441		16
442		12
443		15
444		16
445		12
446		10
447		18
448		20
449		14
450		18
451		14
452		9
453		14
454		11
455		13
456		18
457		14
