Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	370.42
Elapsed Live Time:	353.76
Start Time:	November 12, 2021, 02:33:15
End Time:	November 12, 2021, 02:50:37
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		1
2		0
3		0
4		2
5		0
6		3
7		2
8		2
9		6
10		9
11		4
12		3
13		14
14		6
15		11
16		74
17		446
18		475
19		490
20		479
21		458
22		495
23		495
24		483
25		485
26		434
27		443
28		453
29		457
30		476
31		418
32		421
33		403
34		417
35		385
36		417
37		410
38		415
39		376
40		405
41		361
42		366
43		368
44		371
45		393
46		394
47		371
48		391
49		362
50		391
51		397
52		381
53		384
54		350
55		345
56		381
57		363
58		321
59		357
60		376
61		383
62		376
63		340
64		399
65		365
66		381
67		376
68		367
69		392
70		392
71		414
72		338
73		381
74		408
75		391
76		395
77		396
78		427
79		430
80		431
81		466
82		445
83		445
84		447
85		489
86		468
87		476
88		509
89		497
90		478
91		511
92		514
93		490
94		561
95		520
96		471
97		484
98		501
99		514
100		507
101		516
102		469
103		533
104		480
105		467
106		467
107		443
108		439
109		477
110		520
111		423
112		426
113		439
114		390
115		432
116		400
117		406
118		450
119		477
120		457
121		442
122		461
123		491
124		483
125		506
126		477
127		503
128		501
129		472
130		490
131		493
132		500
133		510
134		524
135		495
136		513
137		545
138		487
139		582
140		547
141		547
142		550
143		535
144		538
145		571
146		518
147		550
148		602
149		568
150		548
151		561
152		556
153		550
154		585
155		583
156		594
157		582
158		580
159		610
160		591
161		639
162		576
163		606
164		605
165		654
166		622
167		606
168		612
169		669
170		642
171		640
172		656
173		696
174		702
175		757
176		788
177		794
178		732
179		797
180		810
181		732
182		838
183		800
184		819
185		793
186		811
187		816
188		841
189		847
190		870
191		903
192		878
193		900
194		912
195		899
196		892
197		929
198		949
199		881
200		942
201		979
202		995
203		1010
204		993
205		1056
206		991
207		1062
208		1095
209		1004
210		1124
211		1114
212		1141
213		1076
214		1202
215		1207
216		1234
217		1322
218		1313
219		1341
220		1325
221		1326
222		1381
223		1482
224		1519
225		1544
226		1651
227		1572
228		1575
229		1623
230		1684
231		1649
232		1620
233		1688
234		1717
235		1800
236		1761
237		1750
238		1729
239		1628
240		1713
241		1725
242		1755
243		1743
244		1743
245		1719
246		1690
247		1724
248		1734
249		1680
250		1581
251		1564
252		1547
253		1589
254		1500
255		1477
256		1514
257		1436
258		1450
259		1541
260		1459
261		1407
262		1374
263		1397
264		1357
265		1414
266		1250
267		1339
268		1238
269		1319
270		1330
271		1325
272		1254
273		1272
274		1235
275		1309
276		1269
277		1226
278		1275
279		1221
280		1179
281		1156
282		1133
283		1202
284		1154
285		1150
286		1108
287		1120
288		1085
289		1161
290		1076
291		1064
292		1087
293		1071
294		995
295		979
296		1024
297		1090
298		988
299		1022
300		1011
301		940
302		951
303		950
304		967
305		945
306		982
307		930
308		896
309		943
310		907
311		909
312		873
313		907
314		863
315		894
316		893
317		897
318		979
319		860
320		932
321		854
322		928
323		928
324		888
325		919
326		930
327		876
328		887
329		904
330		871
331		873
332		931
333		838
334		898
335		856
336		884
337		892
338		913
339		848
340		885
341		825
342		905
343		842
344		832
345		848
346		855
347		885
348		889
349		870
350		900
351		897
352		907
353		874
354		899
355		818
356		827
357		880
358		890
359		841
360		927
361		861
362		856
363		897
364		887
365		883
366		893
367		868
368		874
369		872
370		860
371		804
372		824
373		870
374		881
375		863
376		871
377		818
378		871
379		884
380		870
381		841
382		829
383		833
384		862
385		876
386		835
387		841
388		919
389		901
390		872
391		865
392		868
393		912
394		841
395		880
396		830
397		838
398		876
399		898
400		814
401		901
402		826
403		859
404		855
405		802
406		912
407		868
408		809
409		848
410		863
411		890
412		864
413		842
414		809
415		890
416		864
417		854
418		876
419		869
420		964
421		849
422		860
423		840
424		842
425		875
426		853
427		831
428		828
429		854
430		825
431		858
432		769
433		830
434		828
435		823
436		845
437		826
438		791
439		826
440		820
441		829
442		832
443		826
444		817
445		868
446		822
447		811
448		812
449		840
450		829
451		777
452		768
453		815
454		885
455		793
456		815
457		810
458		846
459		815
460		822
461		780
462		806
463		773
464		809
465		807
466		760
467		813
468		801
469		814
470		789
471		830
472		790
473		721
474		737
475		785
476		795
477		769
478		758
479		836
480		800
481		769
482		817
483		869
484		717
485		856
486		792
487		849
488		795
489		770
490		805
491		811
492		792
493		797
494		810
495		784
496		782
497		775
498		714
499		739
500		732
501		783
502		722
503		773
504		759
505		719
506		733
507		746
508		705
509		787
510		729
511		748
512		732
513		712
514		751
515		764
516		718
517		723
518		702
519		761
520		736
521		712
522		733
523		750
524		767
525		703
526		757
527		723
528		690
529		705
530		752
531		754
532		769
533		724
534		740
535		722
536		676
537		671
538		745
539		749
540		711
541		753
542		739
543		685
544		790
545		764
546		758
547		720
548		700
549		722
550		716
551		723
552		706
553		677
554		691
555		663
556		708
557		673
558		703
559		738
560		713
561		705
562		694
563		707
564		681
565		749
566		692
567		706
568		640
569		712
570		706
571		660
572		705
573		745
574		703
575		691
576		682
577		679
578		708
579		691
580		704
581		660
582		740
583		681
584		690
585		695
586		680
587		730
588		674
589		724
590		670
591		712
592		708
593		747
594		680
595		664
596		732
597		695
598		694
599		707
600		693
601		689
602		698
603		660
604		746
605		655
606		710
607		666
608		663
609		750
610		684
611		701
612		693
613		689
614		679
615		718
616		744
617		720
618		733
619		720
620		716
621		749
622		701
623		730
624		717
625		726
626		777
627		706
628		704
629		745
630		733
631		722
632		679
633		738
634		768
635		719
636		734
637		722
638		745
639		699
640		764
641		705
642		728
643		692
644		708
645		688
646		693
647		707
648		673
649		724
650		725
651		751
652		706
653		737
654		792
655		664
656		752
657		774
658		685
659		718
660		728
661		769
662		772
663		739
664		692
665		709
666		705
667		753
668		740
669		745
670		730
671		765
672		695
673		755
674		753
675		754
676		759
677		818
678		782
679		696
680		773
681		716
682		748
683		764
684		757
685		754
686		722
687		765
688		698
689		744
690		755
691		777
692		714
693		754
694		698
695		709
696		735
697		750
698		781
699		742
700		678
701		775
702		751
703		745
704		763
705		766
706		713
707		737
708		735
709		796
710		756
711		750
712		751
713		768
714		759
715		734
716		723
717		672
718		697
719		688
720		700
721		760
722		676
723		748
724		711
725		720
726		712
727		678
728		766
729		705
730		731
731		746
732		757
733		705
734		688
735		704
736		723
737		708
738		667
739		697
740		723
741		744
742		714
743		752
744		719
745		717
746		692
747		689
748		694
749		685
750		724
751		753
752		677
753		723
754		678
755		675
756		717
757		749
758		685
759		726
760		697
761		698
762		673
763		723
764		720
765		718
766		692
767		687
768		705
769		722
770		708
771		717
772		713
773		688
774		678
775		665
776		658
777		706
778		697
779		666
780		704
781		727
782		719
783		687
784		671
785		657
786		701
787		679
788		696
789		649
790		727
791		641
792		680
793		688
794		664
795		734
796		685
797		694
798		672
799		630
800		622
801		690
802		673
803		693
804		645
805		674
806		670
807		697
808		679
809		692
810		647
811		663
812		678
813		669
814		679
815		653
816		641
817		719
818		652
819		663
820		703
821		629
822		644
823		616
824		700
825		656
826		653
827		646
828		667
829		654
830		638
831		606
832		654
833		653
834		637
835		635
836		655
837		656
838		689
839		656
840		655
841		653
842		629
843		691
844		658
845		632
846		652
847		680
848		626
849		623
850		678
851		606
852		614
853		605
854		639
855		657
856		690
857		651
858		629
859		638
860		665
861		658
862		634
863		634
864		608
865		604
866		647
867		620
868		652
869		631
870		616
871		588
872		577
873		611
874		607
875		590
876		598
877		600
878		622
879		589
880		669
881		611
882		647
883		627
884		623
885		577
886		627
887		615
888		633
889		639
890		570
891		597
892		609
893		666
894		677
895		631
896		588
897		630
898		622
899		616
900		581
901		595
902		644
903		598
904		640
905		612
906		568
907		619
908		619
909		657
910		649
911		582
912		573
913		578
914		547
915		610
916		588
917		593
918		586
919		534
920		579
921		556
922		635
923		606
924		594
925		603
926		635
927		584
928		582
929		597
930		574
931		618
932		602
933		660
934		576
935		587
936		546
937		581
938		547
939		577
940		534
941		552
942		581
943		588
944		586
945		555
946		560
947		587
948		557
949		586
950		569
951		561
952		530
953		592
954		515
955		539
956		571
957		580
958		597
959		581
960		580
961		528
962		515
963		519
964		563
965		558
966		554
967		541
968		550
969		573
970		552
971		552
972		552
973		576
974		513
975		512
976		608
977		548
978		514
979		551
980		518
981		540
982		537
983		544
984		567
985		559
986		510
987		527
988		564
989		532
990		517
