Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	149.84
Elapsed Live Time:	142.23
Start Time:	November 12, 2021, 03:04:53
End Time:	November 12, 2021, 03:07:23
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		3
5		8
6		2
7		5
8		16
9		5
10		16
11		14
12		15
13		10
14		21
15		30
16		210
17		1869
18		2159
19		2535
20		2719
21		2966
22		3512
23		4068
24		4909
25		5459
26		5471
27		5109
28		4411
29		4227
30		3782
31		3644
32		3380
33		3017
34		2898
35		2837
36		2810
37		2763
38		2764
39		2586
40		2795
41		2671
42		2684
43		2505
44		2670
45		2555
46		2502
47		2630
48		2565
49		2564
50		2463
51		2379
52		2398
53		2490
54		2313
55		2202
56		2276
57		2319
58		2287
59		2249
60		2215
61		2182
62		2232
63		2080
64		2074
65		2114
66		2070
67		2044
68		2011
69		2086
70		2131
71		2023
72		2097
73		1941
74		2148
75		2064
76		2093
77		2142
78		2141
79		2130
80		2282
81		2156
82		2113
83		2159
84		2193
85		2131
86		2135
87		2093
88		2093
89		2037
90		1991
91		2046
92		1930
93		2043
94		1874
95		1889
96		1845
97		1798
98		1908
99		1937
100		1884
101		1798
102		1805
103		1798
104		1767
105		1827
106		1841
107		1702
108		1732
109		1820
110		1726
111		1688
112		1699
113		1616
114		1701
115		1666
116		1531
117		1625
118		1637
119		1555
120		1653
121		1555
122		1564
123		1483
124		1545
125		1551
126		1422
127		1535
128		1531
129		1479
130		1428
131		1422
132		1363
133		1351
134		1373
135		1362
136		1248
137		1289
138		1305
139		1273
140		1293
141		1255
142		1203
143		1192
144		1236
145		1169
146		1216
147		1211
148		1149
149		1142
150		1196
151		1132
152		1180
153		1211
154		1172
155		1158
156		1223
157		1201
158		1176
159		1117
160		1132
161		1089
162		1162
163		1129
164		1181
165		1152
166		1152
167		1208
168		1182
169		1196
170		1120
171		1202
172		1219
173		1191
174		1223
175		1162
176		1206
177		1172
178		1247
179		1214
180		1250
181		1163
182		1119
183		1186
184		1171
185		1170
186		1202
187		1162
188		1147
189		1097
190		1119
191		1097
192		1116
193		1048
194		1058
195		1079
196		980
197		985
198		972
199		953
200		939
201		909
202		901
203		902
204		963
205		866
206		956
207		880
208		843
209		879
210		930
211		872
212		915
213		849
214		902
215		915
216		894
217		944
218		910
219		870
220		878
221		886
222		951
223		880
224		913
225		896
226		910
227		869
228		944
229		898
230		836
231		877
232		890
233		863
234		861
235		862
236		833
237		788
238		788
239		879
240		878
241		812
242		831
243		814
244		828
245		793
246		821
247		808
248		809
249		814
250		865
251		797
252		780
253		775
254		815
255		757
256		786
257		709
258		778
259		790
260		807
261		787
262		773
263		736
264		747
265		778
266		742
267		758
268		758
269		751
270		778
271		815
272		770
273		758
274		818
275		723
276		800
277		753
278		762
279		761
280		768
281		791
282		814
283		732
284		824
285		803
286		760
287		807
288		733
289		772
290		727
291		775
292		799
293		761
294		792
295		744
296		738
297		763
298		759
299		765
300		814
301		699
302		793
303		721
304		802
305		729
306		751
307		785
308		819
309		806
310		774
311		777
312		781
313		770
314		774
315		794
316		755
317		790
318		775
319		759
320		782
321		795
322		802
323		812
324		776
325		744
326		780
327		800
328		775
329		760
330		773
331		742
332		721
333		783
334		760
335		774
336		795
337		777
338		785
339		784
340		790
341		719
342		749
343		745
344		749
345		700
346		703
347		745
348		712
349		729
350		698
351		669
352		667
353		651
354		635
355		631
356		637
357		642
358		621
359		609
360		652
361		591
362		599
363		592
364		570
365		625
366		581
367		587
368		529
369		569
370		554
371		529
372		527
373		542
374		572
375		522
376		543
377		500
378		569
379		566
380		573
381		548
382		578
383		502
384		506
385		576
386		617
387		542
388		551
389		537
390		599
391		573
392		592
393		588
394		641
395		652
396		666
397		611
398		649
399		639
400		677
401		732
402		774
403		766
404		828
405		834
406		864
407		970
408		956
409		1047
410		1116
411		1120
412		1202
413		1337
414		1433
415		1467
416		1539
417		1738
418		1833
419		1922
420		1988
421		2069
