Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	209.35
Elapsed Live Time:	201.83
Start Time:	November 12, 2021, 03:08:43
End Time:	November 12, 2021, 03:12:13
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		2
5		2
6		3
7		8
8		21
9		13
10		16
11		19
12		13
13		17
14		18
15		25
16		240
17		2374
18		2834
19		3287
20		3570
21		3948
22		4465
23		5261
24		6348
25		6983
26		7121
27		6601
28		5878
29		5549
30		5030
31		4742
32		4333
33		4023
34		3967
35		3857
36		3703
37		3745
38		3656
39		3712
40		3566
41		3550
42		3574
43		3383
44		3368
45		3370
46		3429
47		3287
48		3262
49		3320
50		3169
51		3189
52		3114
53		3088
54		2982
55		2905
56		2825
57		2840
58		2878
59		2799
60		2760
61		2787
62		2650
63		2725
64		2648
65		2754
66		2711
67		2891
68		2809
69		2871
70		2831
71		2776
72		2816
73		2768
74		2697
75		2789
76		2725
77		2663
78		2505
79		2548
80		2541
81		2609
82		2532
83		2434
84		2514
85		2471
86		2375
87		2361
88		2392
89		2326
90		2223
91		2210
92		2178
93		2135
94		2018
95		2011
96		2065
97		1914
98		1968
99		1929
100		1902
101		1954
102		1852
103		1812
104		1857
105		1858
106		1780
107		1780
108		1707
109		1734
110		1631
111		1694
112		1670
113		1654
114		1612
115		1607
116		1492
117		1460
118		1526
119		1548
120		1567
121		1537
122		1509
123		1517
124		1525
125		1541
126		1500
127		1527
128		1423
129		1485
130		1481
131		1519
132		1519
133		1433
134		1346
135		1366
136		1400
137		1339
138		1366
139		1322
140		1337
141		1351
142		1383
143		1309
144		1265
145		1229
146		1312
147		1323
148		1319
149		1328
150		1335
151		1286
152		1329
153		1404
154		1326
155		1362
156		1308
157		1400
158		1384
159		1391
160		1378
161		1382
162		1428
163		1383
164		1388
165		1423
166		1381
167		1354
168		1423
169		1387
170		1414
171		1294
172		1310
173		1247
174		1272
175		1198
176		1147
177		1220
178		1164
179		1123
180		1051
181		1051
182		1067
183		1034
184		936
185		1027
186		961
187		959
188		915
189		890
190		875
191		866
192		879
193		826
194		839
195		743
196		772
197		757
198		775
199		692
200		739
201		706
202		693
203		678
204		675
205		732
206		675
207		668
208		647
209		687
210		676
211		725
212		697
213		778
214		841
215		844
216		874
217		850
218		1028
219		981
220		1118
221		1291
222		1327
223		1441
224		1610
225		1858
226		2009
227		2314
228		2639
229		3145
230		3413
231		3922
232		4381
233		4884
234		5364
235		5918
236		6366
237		6754
238		7280
239		7691
240		7945
241		8245
242		8329
243		8417
244		8484
245		8379
246		7837
247		7528
248		7319
249		6735
250		6220
251		5785
252		5034
253		4496
254		4065
255		3443
256		3015
257		2449
258		2032
259		1685
260		1390
261		1088
262		900
263		807
264		625
265		499
266		424
267		374
268		322
269		299
270		298
271		259
272		248
273		239
274		253
275		197
276		237
277		220
278		230
279		222
280		207
281		228
282		216
283		239
284		244
285		244
286		189
287		191
288		201
289		226
290		233
291		181
292		215
293		198
294		245
295		198
296		192
297		200
298		203
299		207
300		205
301		189
302		197
303		192
304		179
305		164
306		188
307		179
308		174
309		181
310		186
311		195
312		183
313		191
314		193
315		201
316		202
317		177
318		191
319		138
320		171
321		178
322		178
323		188
324		151
325		170
326		184
327		160
328		181
329		164
330		172
331		183
332		196
333		169
334		161
335		171
336		155
337		173
338		137
339		185
340		150
341		170
342		179
343		149
344		153
345		142
346		182
347		163
348		143
349		149
350		143
351		158
352		137
353		154
354		131
355		149
356		168
357		145
358		167
359		139
360		161
361		130
362		151
363		161
364		154
365		166
366		153
367		141
368		143
369		136
370		140
371		141
372		146
373		135
374		150
375		132
376		153
377		137
378		161
379		147
380		135
381		142
382		141
383		152
384		153
385		138
386		141
387		135
388		136
389		145
390		152
391		134
392		141
393		159
394		134
395		144
396		153
397		149
398		185
399		137
400		155
401		144
402		151
403		142
404		136
405		139
406		127
407		149
408		147
409		135
410		168
411		157
412		154
413		145
414		149
415		136
416		140
417		127
