Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	146.72
Elapsed Live Time:	136.94
Start Time:	November 12, 2021, 02:51:44
End Time:	November 12, 2021, 03:00:56
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		1
4		0
5		6
6		5
7		7
8		18
9		22
10		26
11		18
12		30
13		21
14		36
15		34
16		302
17		2260
18		2654
19		2935
20		3249
21		3738
22		4426
23		5423
24		6772
25		7827
26		7740
27		7169
28		6225
29		5563
30		4925
31		4446
32		3896
33		3585
34		3421
35		3160
36		3147
37		3112
38		3169
39		3205
40		3081
41		3146
42		3081
43		3026
44		3120
45		3030
46		3097
47		3025
48		2916
49		2879
50		2971
51		2987
52		2882
53		2891
54		2927
55		2846
56		2859
57		2733
58		2846
59		2946
60		2873
61		2914
62		2980
63		3071
64		3066
65		3069
66		3166
67		3174
68		3138
69		3078
70		3117
71		2935
72		3009
73		3124
74		3057
75		3083
76		2929
77		2991
78		2895
79		2878
80		2815
81		2983
82		2876
83		2802
84		2805
85		2705
86		2756
87		2572
88		2589
89		2705
90		2631
91		2613
92		2578
93		2494
94		2441
95		2529
96		2460
97		2300
98		2415
99		2390
100		2353
101		2405
102		2285
103		2247
104		2362
105		2357
106		2346
107		2348
108		2246
109		2286
110		2271
111		2229
112		2262
113		2244
114		2302
115		2251
116		2219
117		2195
118		2106
119		2086
120		2022
121		2013
122		1973
123		1924
124		1916
125		1785
126		1765
127		1689
128		1590
129		1637
130		1479
131		1555
132		1497
133		1507
134		1477
135		1470
136		1494
137		1384
138		1364
139		1375
140		1374
141		1356
142		1273
143		1275
144		1316
145		1292
146		1354
147		1291
148		1288
149		1245
150		1314
151		1308
152		1231
153		1223
154		1272
155		1311
156		1265
157		1383
158		1322
159		1288
160		1330
161		1382
162		1377
163		1436
164		1480
165		1620
166		1607
167		1773
168		1964
169		2138
170		2234
171		2595
172		2932
173		3409
174		4001
175		4533
176		5353
177		6220
178		7145
179		8082
180		8991
181		10093
182		10977
183		12032
184		12941
185		13689
186		14250
187		14671
188		14438
189		14362
190		14131
191		13460
192		12433
193		11573
194		10322
195		9187
196		7925
197		6837
198		5774
199		4698
200		3882
201		3137
202		2558
203		2042
204		1657
205		1328
206		1148
207		899
208		793
209		707
210		763
211		660
212		640
213		658
214		623
215		607
216		622
217		660
218		642
219		608
220		648
221		604
222		626
223		598
224		650
225		583
226		627
227		583
228		610
229		574
230		575
231		562
232		569
233		548
234		556
235		544
236		524
237		570
238		543
239		546
240		471
241		530
242		500
243		512
244		518
245		487
246		492
247		478
248		512
249		524
250		504
251		525
252		475
253		502
254		509
255		503
256		508
257		501
258		528
259		515
260		490
261		476
262		460
263		470
264		536
265		502
266		474
267		496
268		487
269		474
270		471
271		512
272		501
273		519
274		515
275		474
276		437
277		498
278		498
279		476
280		489
281		502
282		473
283		477
284		550
285		520
286		503
287		487
288		471
289		496
290		462
291		442
292		488
293		521
294		505
295		472
296		465
297		458
298		454
299		458
300		500
301		449
302		463
303		461
304		426
305		398
306		488
307		472
308		415
309		441
310		454
311		456
312		475
313		455
314		444
315		444
316		435
317		452
318		439
319		432
320		465
321		438
322		499
323		495
324		456
325		432
326		486
327		436
328		501
329		455
330		419
331		451
332		501
333		487
334		477
335		414
336		474
337		465
338		460
339		436
340		445
341		411
342		436
343		467
344		490
345		449
346		516
347		487
348		466
349		460
350		433
351		508
352		467
353		494
354		494
355		497
356		513
357		454
358		479
359		468
360		455
361		433
362		487
363		516
364		464
365		488
366		458
367		480
368		484
369		464
370		481
371		491
372		462
373		458
374		463
375		457
376		446
377		433
378		436
379		445
380		443
381		485
382		419
383		435
384		424
385		409
386		430
387		374
388		396
389		355
390		367
391		396
392		336
393		359
394		328
395		331
396		330
397		299
398		327
399		294
400		293
401		278
402		273
403		283
404		267
405		274
406		255
407		264
408		255
409		252
410		228
411		267
412		243
413		229
414		258
415		240
416		251
417		225
418		227
419		228
420		246
421		239
422		252
