Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.0
Upper Discriminator:	3
Lower Discriminator:	0
Calibration Coefficients:	5.204961216597666E-7	0.002380368409691405	0.0502018509354924
Calibration Channels:	244	430	486
Calibration Energies:	0.662	1.17	1.33
Elapsed Real Time:	263.36
Elapsed Live Time:	237.74
Start Time:	November 12, 2021, 03:42:10
End Time:	November 12, 2021, 03:46:33
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0502018509354924	1
1	0.05258273984130546	0
2	0.05496466973936184	2
3	0.05734764062966155	7
4	0.059731652512204574	18
5	0.06211670538699092	27
6	0.06450279925402058	50
7	0.06688993411329355	61
8	0.06927810996480986	109
9	0.07166732680856949	90
10	0.07405758464457242	120
11	0.07644888347281868	128
12	0.07884122329330825	142
13	0.08123460410604116	135
14	0.08362902591101737	167
15	0.08602448870823692	217
16	0.08842099249769977	715
17	0.09081853727940595	7610
18	0.09321712305335544	10286
19	0.09561674981954826	12021
20	0.0980174175779844	13170
21	0.10041912632866386	13795
22	0.10282187607158663	14402
23	0.10522566680675272	15723
24	0.10763049853416214	17726
25	0.11003637125381488	18547
26	0.11244328496571093	18284
27	0.1148512396698503	17581
28	0.11726023536623298	16644
29	0.119670272054859	16026
30	0.12208134973572833	15496
31	0.12449346840884098	14653
32	0.12690662807419695	14209
33	0.12932082873179623	13798
34	0.13173607038163887	13625
35	0.13415235302372477	13471
36	0.13656967665805403	13313
37	0.1389880412846266	12918
38	0.14140744690344248	12991
39	0.1438278935145017	12722
40	0.14624938111780422	12460
41	0.14867190971335006	12338
42	0.15109547930113923	12417
43	0.15352008988117172	12463
44	0.15594574145344753	12189
45	0.15837243401796663	11955
46	0.1608001675747291	12005
47	0.16322894212373484	11630
48	0.16565875766498395	11569
49	0.16808961419847634	11527
50	0.17052151172421207	11206
51	0.17295445024219108	11052
52	0.17538842975241348	10983
53	0.17782345025487914	10979
54	0.18025951174958812	10790
55	0.18269661423654046	10345
56	0.1851347577157361	10125
57	0.18757394218717505	10116
58	0.19001416765085732	9902
59	0.19245543410678295	9707
60	0.19489774155495185	9599
61	0.1973410899953641	9751
62	0.19978547942801966	9527
63	0.2022309098529185	9365
64	0.20467738127006072	9050
65	0.20712489367944623	9184
66	0.20957344708107506	8888
67	0.21202304147494722	9098
68	0.2144736768610627	8835
69	0.21692535323942147	8844
70	0.2193780706100236	8673
71	0.22183182897286902	8782
72	0.2242866283279578	8758
73	0.22674246867528985	8646
74	0.22919935001486524	8423
75	0.23165727234668396	8615
76	0.23411623567074596	8503
77	0.23657623998705132	8360
78	0.2390372852956	8080
79	0.24149937159639198	7813
80	0.24396249888942728	7808
81	0.24642666717470593	7604
82	0.24889187645222785	7546
83	0.2513581267219931	7452
84	0.2538254179840017	7205
85	0.2562937502382536	7151
86	0.25876312348474884	7243
87	0.2612335377234874	7019
88	0.26370499295446925	6706
89	0.26617748917769446	6778
90	0.26865102639316296	6902
91	0.27112560460087476	6722
92	0.2736012238008299	6518
93	0.27607788399302835	6562
94	0.27855558517747014	6388
95	0.28103432735415523	6281
96	0.2835141105230837	6298
97	0.2859949346842554	6073
98	0.2884767998376705	5927
99	0.2909597059833289	6001
100	0.29344365312123055	5952
101	0.2959286412513755	5930
102	0.2984146703737639	5883
103	0.3009017404883956	5854
104	0.30338985159527054	5764
105	0.3058790036943888	5685
106	0.3083691967857504	5761
107	0.3108604308693554	5691
108	0.31335270594520365	5788
109	0.3158460220132952	5595
110	0.3183403790736301	5614
111	0.3208357771262083	5699
112	0.3233322161710298	5648
113	0.3258296962080947	5776
114	0.32832821723740285	5769
115	0.33082777925895435	5846
116	0.3333283822727492	5835
117	0.33583002627878733	5972
118	0.33833271127706877	5830
119	0.3408364372675935	6028
120	0.3433412042503616	5880
121	0.345847012225373	6045
122	0.34835386119262773	5963
123	0.3508617511521258	6006
124	0.3533706821038672	6209
125	0.35588065404785185	5999
126	0.3583916669840798	6066
127	0.3609037209125512	5980
128	0.36341681583326585	6107
129	0.3659309517462238	5883
130	0.3684461286514251	5874
131	0.3709623465488697	5991
132	0.37347960543855757	5920
133	0.3759979053204888	5985
134	0.3785172461946634	6007
135	0.3810376280610813	6059
136	0.3835590509197425	6145
137	0.38608151477064706	6177
138	0.38860501961379484	6009
139	0.391129565449186	6145
140	0.3936551522768205	6022
141	0.3961817800966983	6105
142	0.39870944890881943	6108
143	0.40123815871318386	5818
144	0.40376790950979163	5864
145	0.40629870129864265	5737
146	0.4088305340797371	5604
147	0.4113634078530748	5634
148	0.41389732261865586	5543
149	0.4164322783764802	5341
150	0.4189682751265479	5384
151	0.42150531286885884	5169
152	0.42404339160341314	5134
