Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.86
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	179.51
Elapsed Live Time:	178.68
Start Time:	October 15, 2021, 02:40:00
End Time:	October 15, 2021, 02:43:00
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	889	970	3188	2363	39	927
2	354	425	18703	16074	29	385

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		1
4		0
5		9
6		42
7		58
8		89
9		95
10		94
11		112
12		102
13		99
14		133
15		151
16		134
17		147
18		121
19		112
20		126
21		133
22		110
23		129
24		130
25		117
26		107
27		127
28		113
29		132
30		140
31		136
32		132
33		136
34		138
35		112
36		134
37		128
38		159
39		143
40		151
41		157
42		118
43		191
44		180
45		170
46		169
47		183
48		177
49		141
50		166
51		165
52		197
53		161
54		182
55		182
56		185
57		200
58		192
59		200
60		179
61		214
62		192
63		183
64		201
65		186
66		198
67		188
68		198
69		206
70		213
71		210
72		184
73		199
74		238
75		228
76		204
77		200
78		203
79		167
80		235
81		209
82		208
83		194
84		205
85		225
86		180
87		205
88		215
89		213
90		221
91		209
92		232
93		204
94		218
95		223
96		215
97		212
98		200
99		237
100		208
101		223
102		207
103		226
104		199
105		223
106		210
107		216
108		209
109		225
110		213
111		207
112		233
113		217
114		225
115		224
116		211
117		229
118		214
119		230
120		182
121		237
122		238
123		264
124		249
125		294
126		231
127		273
128		253
129		255
130		305
131		292
132		288
133		297
134		298
135		296
136		286
137		297
138		275
139		263
140		260
141		252
142		261
143		225
144		248
145		202
146		216
147		205
148		222
149		186
150		176
151		191
152		167
153		169
154		206
155		166
156		189
157		164
158		198
159		161
160		197
161		159
162		184
163		189
164		183
165		180
166		178
167		175
168		188
169		172
170		180
171		178
172		207
173		171
174		195
175		170
176		162
177		185
178		171
179		161
180		186
181		177
182		165
183		145
184		174
185		164
186		158
187		164
188		151
189		145
190		140
191		152
192		138
193		154
194		144
195		142
196		138
197		149
198		147
199		136
200		159
201		145
202		147
203		122
204		141
205		128
206		128
207		141
208		140
209		136
210		121
211		122
212		144
213		146
214		121
215		134
216		141
217		138
218		109
219		139
220		135
221		129
222		131
223		144
224		127
225		118
226		109
227		114
228		144
229		137
230		131
231		129
232		126
233		138
234		110
235		122
236		136
237		123
238		91
239		131
240		121
241		126
242		117
243		126
244		89
245		95
246		92
247		78
248		107
249		110
250		99
251		85
252		97
253		93
254		84
255		82
256		75
257		82
258		65
259		77
260		80
261		74
262		82
263		62
264		61
265		62
266		72
267		53
268		66
269		49
270		64
271		62
272		55
273		52
274		83
275		58
276		53
277		56
278		44
279		65
280		57
281		46
282		50
283		64
284		52
285		48
286		39
287		51
288		56
289		47
290		39
291		53
292		48
293		41
294		42
295		37
296		46
297		59
298		43
299		33
300		43
301		45
302		41
303		37
304		33
305		29
306		51
307		40
308		33
309		42
310		45
311		48
312		35
313		39
314		37
315		28
316		42
317		44
318		38
319		50
320		47
321		22
322		39
323		46
324		40
325		36
326		34
327		31
328		41
329		42
330		32
331		39
332		29
333		45
334		33
335		27
336		37
337		38
338		43
339		26
340		38
341		32
342		38
343		28
344		30
345		39
346		35
347		44
348		38
349		40
350		40
351		36
352		43
353		47
354		55
355		61
356		72
357		99
358		87
359		84
360		106
361		130
362		140
363		155
364		159
365		201
366		178
367		230
368		236
369		282
370		280
371		285
372		332
373		372
374		403
375		439
376		440
377		496
378		504
379		513
380		500
381		493
382		536
383		571
384		619
385		585
386		547
387		592
388		552
389		538
390		532
391		535
392		445
393		460
394		472
395		450
396		403
397		368
398		342
399		336
400		254
401		249
402		239
403		231
404		182
405		155
406		147
407		147
408		121
409		92
410		75
411		78
412		80
413		77
414		39
415		58
416		34
417		35
418		30
419		25
420		32
421		18
422		28
423		24
424		19
425		19
426		22
427		14
428		20
429		20
430		14
431		14
432		22
433		19
434		16
435		9
436		18
437		26
438		21
439		20
440		18
441		23
442		21
443		18
444		20
445		27
446		12
447		23
448		20
449		21
450		17
451		28
452		21
453		17
454		18
455		9
456		23
457		25
458		26
459		19
460		17
461		16
