E (keV)	mu (cm^-1)
0.008417543	51508
0.008543178	44488
0.01069	7212.9
0.01142761	5533.7
0.01221612	4700.7
0.01305903	4337.2
0.0139601	4273.9
0.01492335	4432.1
0.01595306	4776.1
0.01705382	5290.1
0.01823053	5967.4
0.01948844	6801.8
0.02083314	7782.7
0.02227063	8891.9
0.0238073	10100
0.02545001	11365
0.02720606	12638
0.02908327	13859
0.03109002	14968
0.03323523	15908
0.03552846	16602
0.03797993	16987
0.04060054	17065
0.04340198	16863
0.04639671	16421
0.04959809	15770
0.05302035	14922
0.05667876	13956
0.06058959	12920
0.06477028	11856
0.06923942	10798
0.071638	10271
0.0727345	10039
0.0730269	9978.1
0.0734655	224630
0.07401695	227890
0.074562	231150
0.07912411	259490
0.08458368	292040
0.09041995	315020
0.09665893	326980
0.1033284	328280
0.1104581	320300
0.115346	311060
0.1171115	307180
0.1175823	306100
0.1180797	335230
0.1182885	334740
0.120054	330430
0.1262272	314270
0.1349368	289990
0.1442475	263920
0.1542005	237400
0.1648404	211470
0.1762144	186860
0.1883732	164030
0.2013709	143200
0.2152655	124460
0.2301188	107780
0.245997	93041
0.2629708	80109
0.2811158	68823
0.3005128	59012
0.3212482	50493
0.3434143	43124
0.3671099	36769
0.3924405	31305
0.4195189	26617
0.4484657	22603
0.4794098	19173
0.5124891	16245
0.5478508	13749
0.5856525	11625
0.6260625	9820.5
0.6692609	8290
0.7154399	6994.4
0.7648052	5898.5
0.8175768	4973
0.8739896	4191.8
0.9342948	3533.3
0.9987612	2979.1
1.067676	2480.9
1.141345	2067.5
1.220098	1724.7
1.304285	1440.2
1.394281	1202.2
1.490486	1000.5
1.528408	933.96
1.551802	896
1.55804	886.25
1.567398	10879
1.590792	10661
1.593329	10637
1.703269	9391.1
1.820795	7928.7
1.94643	6594.1
2	6096.7483
2.080733	5483.8
2.224304	4596.1
2.377781	3858.2
2.541848	3242.6
2.717235	2724.8
2.904724	2288.2
3	2122.9508
3.10515	1914.6
3.319406	1587.3
3.548445	1315.4
3.793288	1090.2
4	971.22305
4.055024	903.68
4.334821	749.15
4.633924	621.12
4.953664	515.06
5	521.03894
5.295467	427.15
5.660855	354.3
6	310.62973
6.051453	293.93
6.469004	243.89
6.915365	201.89
7.392525	166.34
7.902609	137.09
8	135.594053
8.44789	113.03
9.030794	93.043
9.653919	76.127
10	70.666243
10.32004	62.317
11.03212	51.04
11.79334	41.831
12.60708	34.307
13.47697	28.164
14.40688	23.141
15	21.4315655
15.40095	19.036
16.46362	15.679
17.59961	12.934
18.81398	10.688
20	9.2703981
20.11215	8.8504
21.49988	7.3452
22.98338	6.1126
24.56923	5.1024
26.2645	4.2742
28.07676	3.5821
30	3.0389448
30.01405	3.0131
32.08502	2.5482
34.29889	2.1654
36.66551	1.8501
39.19543	1.5927
40	1.53159585
41.89992	1.3823
44.79101	1.2101
47.88159	1.0688
50	0.99169821
51.18542	0.95261
54.71721	0.8568
58.4927	0.7776
60	0.74842098
62.5287	0.71186
66.84318	0.65706
71.45536	0.61118
76.38578	0.57252
80	0.54366938
81.6564	0.53974
87.29069	0.51174
93.31374	0.48763
99.75239	0.46665
100	0.45907464
106.6353	0.44819
113.9931	0.43181
121.8587	0.4171
130.2669	0.40376
139.2553	0.39151
148.864	0.38014
150	0.37124698
159.1356	0.36952
170.1159	0.35945
181.8539	0.34986
194.4018	0.34064
200	0.32948843
207.8156	0.33175
222.1548	0.3231
237.4835	0.31467
253.8699	0.30643
271.3869	0.29832
290.1126	0.29037
300	0.28072522
310.1304	0.2825
331.5294	0.27477
354.4049	0.26713
378.8588	0.25959
400	0.249904716
405.0001	0.25215
432.9451	0.2448
500	0.227516745
600	0.210193682
800	0.184303381
1000	0.165579386
1250	0.148067736
1500	0.134866646
2000	0.116492884
3000	0.095398081
4000	0.083678746
5000	0.076404676
6000	0.071528355
8000	0.065655217
10000	0.062449238
15000	0.059135495
20000	0.058408088
